complaint_text,category,urgency,duration,affected_count,source,cluster_id,cluster_count,issue_id
cgpa pe pressure bohot zyada hai yaar,Academics,High,From Last Month,20+,synthetic,,,
"Professor ne wrong concept padhaya, jab student ne point out kiya toh attitude diya. This discourages learning.",Ragging,Low,More than a month,2 to 5,synthetic,,,
no grievance cell,Other,High,More than a month,5 to 20,synthetic,,,
Girls washroom mein door locks broken hai almost every stall mein. We have to hold the door or wait for one working lock.,Infrastructure,Medium,From Last Month,20+,synthetic,,,
toilet flush kaam nahi kar raha,Cleanliness,High,From Last Month,20+,synthetic,,,
Classroom lights in some rooms are very low wattage. Dim lighting strains eyes during reading and exams.,Infrastructure,High,Today,20+,synthetic,,,
staff cooperate nahi kar raha,Other,High,From last week,Only me,synthetic,,,
queue bahut lamba hai,Mess/Food,High,More than a month,20+,synthetic,,,
iMac lab mein students ko access nahi diya jaata. Itna expensive hardware has dust on it. What's the point of buying it if students can't use it?,Technical Issues,High,From last week,Only me,synthetic,,,
Senior students verbally abused juniors near the library and threatened them not to use certain chairs 'reserved' for seniors. This entitlement and intimidation needs to stop.,Ragging,High,More than a month,Only me,synthetic,,,
Girls common room mein AC nahi hai but boys ke liye hai. Unfair treatment and basic comfort issue.,Infrastructure,Low,Today,5 to 20,synthetic,,,
The canteen closes early sometimes without any notice. Students who have labs till late have no food option. Timing extend karo.,Mess/Food,High,From last week,2 to 5,synthetic,,,
internet baar baar disconnect ho raha,Technical Issues,High,From Last Month,2 to 5,synthetic,,,
A senior student was verbally aggressive with juniors in parking lot. Threatened them. This is ragging - take it seriously.,Ragging,High,More than a month,2 to 5,synthetic,,,
Wheelchair accessibility ramps not available in older buildings. Students with mobility issues can't access floors.,Infrastructure,Medium,From last week,2 to 5,synthetic,,,
"attendance 75% se kam ho gayi, tension ho rahi hai",Academics,Medium,More than a month,20+,synthetic,,,
"After college events, venue is never cleaned properly. Next day students find leftover food and plastic everywhere.",Cleanliness,High,More than a month,20+,synthetic,,,
Yaar mess ka khana kha ke stomach upset hua. Oil itna zyada ki 2 din buri halat rahi. Health ko affect kar raha hai.,Mess/Food,High,From last week,20+,synthetic,,,
No proper induction program for first year students. They are lost for first month with no guidance.,Other,High,From Last Month,5 to 20,synthetic,,,
"60 rupaye mein jo milta hai woh 30 ka bhi nahi lagta. Dal watery, chapati thin, sabzi tasteless. Value for money zero.",Mess/Food,Medium,Today,20+,synthetic,,,
"Food covers nahi hote, flies ghoom rahi hai upar. Staff ko koi concern nahi. This is a basic hygiene issue yaar.",Mess/Food,High,From Last Month,2 to 5,synthetic,,,
backlog wale students ke liye koi special class nahi,Academics,Low,More than a month,5 to 20,synthetic,,,
social media pe irrelevant posts,Other,High,More than a month,20+,synthetic,,,
"Main ek comprehensive complaint dena chahta hoon cleanliness ke baare mein. Washrooms gande hai, dustbins overflow, corridors mein kachra, lab benches dusty, canteen area unhygienic, campus ke bahar littered. Yeh ek ya do jagah ki baat nahi - poora campus cleanliness pe attention nahi de raha. We pay substantial fees. Basic hygiene should not be negotiable. Please appoint a dedicated cleanliness supervisor, increase cleaning staff, and implement a 3-times-daily washroom cleaning schedule.",Cleanliness,High,More than a month,5 to 20,synthetic,,,
"Lost and found system doesn't exist in this college. If something is lost, no official way to report or recover it.",Other,Medium,More than a month,2 to 5,synthetic,,,
dal mein paani hi paani hai,Mess/Food,High,From Last Month,20+,synthetic,,,
classroom windows broken hain,Infrastructure,Medium,From Last Month,2 to 5,synthetic,,,
"Yaar campus ki cleanliness ki situation kya bata bhai. Canteen ke bahar ka area garbage dump ban gaya hai. Stairs ke corners pe kachra, dustbins overflow ho rahe hai, aur bahar ka road bhi littered hai. Students bhi zimmedaar hai for sure - but cleaning staff bhi visible nahi hai campus pe during the day. Koi ek person responsible hona chahiye jo ensure kare ki campus clean hai throughout the day. Ek Sunday campus cleanliness drive organize karo - involve students bhi. Kuch karo please.",Cleanliness,Low,From Last Month,5 to 20,synthetic,,,
classroom ventilation poor hai,Infrastructure,High,More than a month,20+,synthetic,,,
A senior student was verbally aggressive with juniors in parking lot. Threatened them. This is ragging - take it seriously.,Ragging,High,More than a month,5 to 20,synthetic,,,
seniors scare first year students,Ragging,High,From Last Month,Only me,synthetic,,,
"The mess management really needs to step up. Food quality has been consistently bad for over a month now. No nutrition, excess oil, same boring menu every day. For students who stay far and depend entirely on college food, this is a serious problem. We're paying full fees for this college  the least they can do is provide edible food. The seating arrangement is also pathetic. During lunch break it feels like a fish market. Please take this seriously.",Mess/Food,High,More than a month,20+,synthetic,,,
Student ID cards take 2+ months for new students. Many facilities require ID - students stuck without it.,Other,Low,From last week,5 to 20,synthetic,,,
"Ek faculty member ka behavior students ke saath bahut hi bura hai. Woh class mein questions puchte hai aur agar galat jawab aaya toh loudly mock karte hai  poori class ke saamne. Ek baar ek student ne ek concept pe doubt pucha toh unhone kaha 'itna bhi nahi pata, kya kar rahe ho yahan?' This is deeply demoralizing. Students ki confidence totally shatter ho gayi hai. Aise professor ke saath class attend karna mental torture hai. Please talk to this faculty member and make them understand professional conduct.",Ragging,High,More than a month,Only me,synthetic,,,
Wifi password change hote rehta hai bina notice ke. Ek din suddenly disconnect  class mein teacher something batate hai aur hum internet ke bina hote hai.,Technical Issues,Low,More than a month,5 to 20,synthetic,,,
Water leakage in A block classrooms since monsoon. Nothing repaired. Seepage is now causing wall damage too.,Infrastructure,High,More than a month,2 to 5,synthetic,,,
College events are held on weekdays during college hours  this disturbs regular lectures and students suffer. Schedule events on weekends or free periods.,Other,Medium,From last week,5 to 20,synthetic,,,
"Multiple systems in lab M411 and M312 are non-functional. Some don't boot, some freeze during work, some have login issues that don't recognize student IDs. We have practicals to complete with deadlines and we can't work because equipment isn't working. This has been reported multiple times but nothing has been fixed. How are we expected to learn if the tools aren't working? Labs need urgent maintenance - not next month, NOW.",Technical Issues,High,From Last Month,5 to 20,synthetic,,,
first years ko torture kiya ja raha,Ragging,High,From Last Month,Only me,synthetic,,,
"I am deeply concerned about the academic stress levels in our college. Multiple students I know are dealing with anxiety, sleep deprivation, and burnout because of the relentless schedule of tests, assignments, and submissions. One of my friends had a panic attack before exams because of the pressure. When we tried to report this to the HOD, they dismissed it as 'weakness.' Mental health is real. Academic pressure policies need to be reviewed immediately. Students should not be breaking down to get a degree.",Academics,Medium,More than a month,20+,synthetic,,,
College WiFi ka login system is very buggy. Aadhe time login page hi nahi aata. Aur agar aa gaya toh disconnect ho jata hai 5 minutes mein.,Technical Issues,Medium,More than a month,Only me,synthetic,,,
"During rains, water leaks into D block library area. Books and bags get wet. The building maintenance is clearly not done properly.",Infrastructure,Low,From Last Month,20+,synthetic,,,
ISA mein koi grace marks nahi milte,Academics,High,More than a month,20+,synthetic,,,
"Yaar ITI students get better practical training than us sometimes. Hum engineering kar rahe hai but kabhi kuch banana nahi sikha sahi se. Sab theoretical hai. Physics, maths, theory. Kab industry-ready honge? Companies mein jaate hai interview ke liye toh pata chalta hai kitna gap hai. College ki responsibility hai ki hume ready kare. Is college ki placement rate har saal gir rahi hai. But koi action nahi. Koi accountability nahi. Students fail hote hai, college ka kya jaata hai?",Academics,Low,More than a month,20+,synthetic,,,
Lab benches have layers of dust. Computers dusty too. Equipment lifespan bhi reduce hoga. Regular cleaning please.,Cleanliness,High,More than a month,20+,synthetic,,,
College WiFi ka login system is very buggy. Aadhe time login page hi nahi aata. Aur agar aa gaya toh disconnect ho jata hai 5 minutes mein.,Technical Issues,High,From Last Month,5 to 20,synthetic,,,
internship ke time pe attendance strict ho jaati hai,Academics,Medium,From last week,20+,synthetic,,,
College events held on weekdays during college hours. Disturbs regular lectures. Schedule on weekends.,Other,High,Today,2 to 5,synthetic,,,
canopy leaks during rains,Infrastructure,High,From last week,20+,synthetic,,,
"Vending machine accepts only exact change  no change given back, no card/UPI. This is 2026, please upgrade the machine.",Other,High,Today,2 to 5,synthetic,,,
washroom bahut ganda hai,Cleanliness,Low,From last week,5 to 20,synthetic,,,
college wifi range weak hai,Technical Issues,Medium,More than a month,2 to 5,synthetic,,,
"Wifi password change hota rehta hai bina notice ke. Suddenly disconnect, class mein teacher kuch bata rahe hote hai aur net nahi.",Technical Issues,Medium,More than a month,Only me,synthetic,,,
college events paise waste karte hai,Other,High,More than a month,20+,synthetic,,,
"Monday test ki wajah se sunday ko koi plan nahi bana sakte. Family time, rest, self-study  sab suffer karta hai. Yeh weekly test culture band honi chahiye.",Academics,Medium,More than a month,20+,synthetic,,,
Senior students spread rumors about juniors who report issues. Fear prevents genuine complaints. Strict confidentiality needed.,Ragging,High,From last week,Only me,synthetic,,,
Benches in the canteen outdoor area are broken. Students sitting on them risk getting hurt. Replace them please.,Infrastructure,Low,More than a month,20+,synthetic,,,
Some people  constantly spams publicity a survey msg which distracts other people from reading important messages 🤧🤧,Other,Medium,Today,2 to 5,real,,,
bench toot gaya hai,Infrastructure,Low,More than a month,Only me,synthetic,,,
grading criteria transparent nahi hai,Academics,High,More than a month,20+,synthetic,,,
Senior students spread rumors about juniors who report issues. Fear prevents genuine complaints. Strict confidentiality needed.,Ragging,Medium,More than a month,2 to 5,synthetic,,,
Wheelchair accessibility ramps not available in older buildings. Students with mobility issues can't access floors.,Infrastructure,High,More than a month,Only me,synthetic,,,
No bicycle parking area in college. Students who cycle to college have to leave them anywhere. Proper cycle stand should be provided.,Other,High,More than a month,Only me,synthetic,,,
M-block canteen doesn't accept UPI which is super inconvenient. We are college students  most of us don't carry cash. Please update your payment system bhai.,Mess/Food,Low,More than a month,20+,synthetic,,,
"The building infrastructure of this college is quite poor for the fees we pay. Broken benches, non-functional lights in corridors, leaking roofs during rain, broken washroom doors - these are basic things that should be maintained regularly. In one of our classrooms, two of three ceiling fans don't work. In Mumbai heat, sitting in a hot room with one fan for 60 students is unbearable. Please allocate budget for proper maintenance. Students deserve a functional learning environment.",Infrastructure,High,More than a month,Only me,synthetic,,,
"The robotics minor course is a complete joke. They said we'll learn robotics but we haven't touched a single hardware component. Just MATLAB on a laptop. No Arduino, no sensors, no robots. Meanwhile they still want 75% attendance. Why should I attend classes that teach me nothing practical? IIT students do actual robotics. Here we are just watching videos and submitting reports. If you can't provide proper resources, don't offer the course. It's misleading.",Academics,High,More than a month,2 to 5,synthetic,,,
"College ke technical infrastructure pe seriously kaam karna chahiye. WiFi slow, lab PCs outdated, projectors broken, software unlicensed, portal always crashing. Yeh individual problems nahi hai - yeh ek systemic failure hai. Hum fees dete hai but basic technical facilities nahi milti. Other colleges students ko proper tech environment dete hai. Here we are fighting with broken equipment every day. Please allocate proper maintenance budget and keep technical systems updated.",Technical Issues,Low,From Last Month,2 to 5,synthetic,,,
library mein AC nahi hai,Infrastructure,High,From Last Month,2 to 5,synthetic,,,
washroom lock toot gaya hai,Infrastructure,High,More than a month,20+,synthetic,,,
library books outdated hai,Other,High,From last week,5 to 20,synthetic,,,
classroom mein dust hai everywhere,Cleanliness,Medium,From last week,2 to 5,synthetic,,,
"Main OHU student hoon aur college food pe depend karta hoon. Situation yeh hai ki har din khana khaate time mujhe lagta hai yeh waste of money hai. Chapati itni thin hai ki fold karte time toot jaati hai. Dal mein sirf water hai, koi dal nahi. Paneer ki gravy oily aur watery dono simultaneously. 60 rupaye per meal charge kar rahe hai aur yeh de rahe hai? Mere ghar pe 20 rupaye mein better food banta hai. OHU students ki koi sunta hi nahi because 'you chose to stay, you deal with it.' Please improve food quality or reduce price.",Mess/Food,High,More than a month,5 to 20,synthetic,,,
"Sir ne front bench pe baithe students ko bola ki 'back bench pe jaao, aap log toh waise bhi kuch nahi karoge.' This is demoralizing and unprofessional.",Ragging,High,From Last Month,2 to 5,synthetic,,,
"During rains, water leaks into D block library area. Books and bags get wet. The building maintenance is clearly not done properly.",Infrastructure,High,More than a month,2 to 5,synthetic,,,
Senior students spread rumors about juniors who report issues. This creates fear and prevents genuine complaints from being raised. Strict confidentiality needed.,Ragging,High,From Last Month,2 to 5,synthetic,,,
Canteen tables kabhi saaf nahi hoti properly. Previous student ka leftovers pe fresh food plate rakh do - unhygienic.,Mess/Food,High,More than a month,20+,synthetic,,,
UPI nahi chalta M-block canteen mein. 2026 mein cash carry karna? Really? Please install payment system.,Mess/Food,High,More than a month,5 to 20,synthetic,,,
100% attendance compulsory kyu hai yaar,Academics,Medium,From Last Month,20+,synthetic,,,
"Misal pav is the most popular item but the pav quality is always substandard. Stale, hard, sometimes has an off smell. Basic quality check karo.",Mess/Food,High,More than a month,20+,synthetic,,,
iMac lab locked hai students ke liye,Technical Issues,Medium,From Last Month,20+,synthetic,,,
college portal crash ho gaya,Technical Issues,Medium,From last week,20+,synthetic,,,
faculty ne verbal abuse ki,Ragging,High,From Last Month,Only me,synthetic,,,
teacher ne galat concept padhaya aur maana nahi,Academics,High,More than a month,20+,synthetic,,,
The mess doesn't cater well to students with dietary restrictions. No proper vegetarian options beyond the standard menu. Some variety please.,Mess/Food,High,More than a month,20+,synthetic,,,
cleaning nahi hoti proper,Cleanliness,High,More than a month,5 to 20,synthetic,,,
Lab PCs mein virus hai shayad - so slow that you can't work. Antivirus update please.,Technical Issues,High,From Last Month,2 to 5,synthetic,,,
internet drops every 10 minutes,Technical Issues,Low,From Last Month,20+,synthetic,,,
food stale rehta hai,Mess/Food,High,More than a month,20+,synthetic,,,
Canteen mein kabhi kabhi food cover nahi hota  flies around kar rahi hai aur staff ko koi difference nahi padta. Health hazard hai yeh.,Mess/Food,Medium,More than a month,5 to 20,synthetic,,,
Monday tests again  ,Academics,Medium,Today,2 to 5,synthetic,,,
Washroom tiles in boys block not scrubbed in a very long time. Stains everywhere. Deep cleaning overdue.,Infrastructure,High,Today,5 to 20,synthetic,,,
The projector in our classroom has been broken for 2 weeks. Professor is teaching on whiteboard only which is very difficult to see from back benches.,Technical Issues,High,More than a month,20+,synthetic,,,
"Students from North India, South India and other regions face social isolation because of language and cultural barriers. No integration programs.",Other,Medium,From Last Month,20+,synthetic,,,
The gap between what this college teaches and what industry actually needs is HUGE. I went for internship interviews and realized I didn't know half the things they were asking. My college just focuses on rote learning and attendance. Where is the practical exposure? Where is the mentorship? The placement record of this college is declining every year and no one is taking responsibility. Students who work hard are still unemployed because the college failed to prepare them. This is not acceptable.,Academics,High,More than a month,20+,synthetic,,,
sir class mein sarcasm karta hai unnecessarily,Ragging,High,More than a month,Only me,synthetic,,,
Language problem serious hai clg mein. Maharashtra ke bahar ke students ke liye Marathi medium faculty ek big barrier hai. Kuch professors poori class Marathi mein lete hai aur sirf end mein ek line English mein bolta hai. Non-Marathi students completely lost rehte hai throughout the lecture. Teaching medium English ya Hindi hona chahiye as per university guidelines. Please enforce this properly.,Other,Medium,From Last Month,20+,synthetic,,,
"mock tests se skills develop nahi ho rahe, just marks",Academics,High,From Last Month,20+,synthetic,,,
"Network peak hours (10am-12pm) mein almost zero speed. Too many users, not enough bandwidth. Please upgrade.",Technical Issues,High,From Last Month,20+,synthetic,,,
software license expired hai lab mein,Technical Issues,High,More than a month,5 to 20,synthetic,,,
food thanda serve hota hai,Mess/Food,Medium,More than a month,20+,synthetic,,,
timetable last minute change kar diya,Academics,High,More than a month,20+,synthetic,,,
Staircase railing in B block is loose. It wobbles when you hold it. Safety hazard - koi gir sakta hai anytime.,Infrastructure,Medium,From Last Month,20+,synthetic,,,
id card nahi mila abhi tak,Other,Medium,From last week,2 to 5,synthetic,,,
staff cooperate nahi kar raha,Other,High,More than a month,5 to 20,synthetic,,,
During MSE exams submission portal crashed and many students couldn't upload on time. Who takes responsibility for technical failure?,Technical Issues,Low,From last week,20+,synthetic,,,
lan port kaam nahi kar raha,Technical Issues,High,From last week,5 to 20,synthetic,,,
"I want to formally complain about the quality of food being served in the college mess. The food is regularly tasteless, poorly cooked, and sometimes even smells off. The gravy dishes are extremely watery. The chapatis are so thin they fall apart. The price has increased but quality has only gone down. Many students including myself have faced stomach issues after eating from the mess. This is a serious health concern and needs immediate attention from the college administration.",Mess/Food,Medium,More than a month,20+,synthetic,,,
"Classroom floors are swept but not mopped. Sticky floors, stains, and marks everywhere. Proper floor cleaning with disinfectant is required.",Cleanliness,High,More than a month,20+,synthetic,,,
Senior verbally abused juniors near library. Threatened them not to use certain seats 'reserved for seniors.' Not ok.,Ragging,High,More than a month,2 to 5,synthetic,,,
"During monsoon, water enters the basement area where some labs are. Equipment gets damaged. Waterproofing should have been done long ago.",Infrastructure,High,More than a month,2 to 5,synthetic,,,
"Declaration page for EVERY assignment is ridiculous. It's 2026, not 1990. Go paperless at least. Such a waste.",Academics,High,From last week,20+,synthetic,,,
id card nahi mila abhi tak,Other,Medium,From Last Month,20+,synthetic,,,
wifi nahi chal raha,Technical Issues,High,From Last Month,5 to 20,synthetic,,,
first years ko torture kiya ja raha,Ragging,Medium,Today,2 to 5,synthetic,,,
There is no bus facility for students from far areas. We spend 4-5 hours daily in travel.,Other,High,More than a month,20+,synthetic,,,
WiFi signal doesn't reach hostel blocks properly. Students who stay in hostel have no reliable internet for evening studies.,Technical Issues,High,More than a month,5 to 20,synthetic,,,
seating nahi milti,Mess/Food,Medium,More than a month,5 to 20,synthetic,,,
College social media posts irrelevant content. Important announcements buried under event photos.,Other,High,From Last Month,20+,synthetic,,,
canopy leaks rain mein,Infrastructure,Medium,Today,20+,synthetic,,,
No nutritional value in the food being served. Engineering students need proper fuel to study. You can't run on watery dal and thin chapati.,Mess/Food,High,From Last Month,2 to 5,synthetic,,,
202 classroom ka AC 2 mahine se band hai. Summer mein bina AC ke ek hour bhi baithna mushkil hai. Please get it repaired already.,Technical Issues,Medium,From Last Month,5 to 20,synthetic,,,
"Our professor doesn't allow students to leave class even during emergencies. When a student requested washroom break urgently, he refused. This is inhumane.",Ragging,High,From last week,Only me,synthetic,,,
"Sweeping is done daily but with the same dirty broom  it just moves the dust around, doesn't clean. Use proper mops with disinfectant.",Cleanliness,Medium,More than a month,20+,synthetic,,,
"Professor padhate nahi, just ek book open karke padhte hai. Hum bhi ghar pe yeh kar sakte the.",Academics,High,From last week,20+,synthetic,,,
seating nahi milti,Mess/Food,High,More than a month,5 to 20,synthetic,,,
"College WhatsApp groups are full of spam  promotional messages, surveys, irrelevant forwards. It's so hard to find important messages in all this noise.",Other,Medium,More than a month,2 to 5,synthetic,,,
dustbins overflow ho rahe hai,Cleanliness,Medium,More than a month,2 to 5,synthetic,,,
fees issue resolve nahi ho raha,Other,High,From Last Month,20+,synthetic,,,
Medical facility on campus is inadequate. No proper nurse or doctor. Only a basic first aid box available.,Other,Medium,From last week,5 to 20,synthetic,,,
There is a pattern of behavior from one particular professor that I want to report formally. He regularly singles out students who don't have 100% attendance and threatens them in front of the class. Uses sarcastic and demeaning language. Girls especially have complained of feeling uncomfortable. On multiple occasions he has made inappropriate and humiliating comments. This is not discipline - this is harassment. Several students have stopped attending his classes out of fear. Please investigate and act before more students are affected.,Ragging,High,From last week,5 to 20,synthetic,,,
cleaning nahi hoti proper,Cleanliness,High,From Last Month,20+,synthetic,,,
LAN connections in lab M411 are loose - internet disconnects randomly during practicals.,Technical Issues,High,From Last Month,5 to 20,synthetic,,,
Language problem serious hai clg mein. Maharashtra ke bahar ke students ke liye Marathi medium faculty ek big barrier hai. Kuch professors poori class Marathi mein lete hai aur sirf end mein ek line English mein bolta hai. Non-Marathi students completely lost rehte hai throughout the lecture. Teaching medium English ya Hindi hona chahiye as per university guidelines. Please enforce this properly.,Other,Low,From Last Month,5 to 20,synthetic,,,
College mein cleaning ki responsibility only cleaning staff pe hai. No quality check by administration at all.,Cleanliness,Medium,From last week,20+,synthetic,,,
exam form submit nahi ho raha,Other,High,From Last Month,2 to 5,synthetic,,,
seating nahi milti,Mess/Food,High,From Last Month,5 to 20,synthetic,,,
Serving quantity inconsistent hai. Peak hours mein less portion milta hai. Consistency maintain karo.,Mess/Food,High,From last week,20+,synthetic,,,
"Main ek comprehensive complaint dena chahta hoon cleanliness ke baare mein. Washrooms gande hai, dustbins overflow, corridors mein kachra, lab benches dusty, canteen area unhygienic, campus ke bahar littered. Yeh ek ya do jagah ki baat nahi - poora campus cleanliness pe attention nahi de raha. We pay substantial fees. Basic hygiene should not be negotiable. Please appoint a dedicated cleanliness supervisor, increase cleaning staff, and implement a 3-times-daily washroom cleaning schedule.",Cleanliness,Medium,From Last Month,2 to 5,synthetic,,,
"Library mein AC nahi hai for months. Garmi mein padhai karna impossible. Books hai, seats hai, but AC nahi - kya fayda?",Infrastructure,Medium,More than a month,20+,synthetic,,,
variety nahi hai menu mein,Mess/Food,High,More than a month,5 to 20,synthetic,,,
outside college area littered,Cleanliness,High,More than a month,5 to 20,synthetic,,,
seating nahi milti lunch mein,Mess/Food,Low,More than a month,20+,synthetic,,,
"College canteen menu has no options for students with dietary restrictions  no gluten-free, no jain food options mentioned anywhere.",Other,Medium,From Last Month,Only me,synthetic,,,
Declaration page for every submission of every subject ,Academics,High,From Last Month,20+,real,,,
portal login issue aa raha hai,Other,High,From Last Month,2 to 5,synthetic,,,
There is a pattern of behavior from one particular professor that I want to report formally. He regularly singles out students who don't have 100% attendance and threatens them in front of the class. He uses sarcastic and demeaning language. Girls especially have complained of feeling uncomfortable in his classes. On multiple occasions he has made comments that were inappropriate and humiliating. This is not discipline  this is harassment. Several students have already stopped attending his classes out of fear. Please investigate and act.,Ragging,High,From last week,2 to 5,synthetic,,,
counseling service nahi hai,Other,High,From Last Month,20+,synthetic,,,
"Alumni network is completely inactive. No mentorship program, no networking events, no job referral system through alumni.",Other,High,From last week,20+,synthetic,,,
"ISA marks affect karte hai SGPA ko, this is unfair",Academics,Medium,More than a month,5 to 20,synthetic,,,
Professor ek particular student group ke saath bias rakhta hai  favorites ko marks deta hai aur baaki ko unfairly treats karta hai. This is discrimination.,Ragging,High,From Last Month,2 to 5,synthetic,,,
drinking water area dirty hai,Cleanliness,High,From last week,2 to 5,synthetic,,,
classroom mein dust everywhere,Cleanliness,High,More than a month,20+,synthetic,,,
printer out of order hai,Technical Issues,Medium,From last week,20+,synthetic,,,
The gap between what I learned here and what the industry needs is so massive that I feel cheated. Three years of engineering and I can't confidently build even a basic project from scratch because everything was theory-based. Our labs have 10-year-old computers that can't run modern IDEs. Our professors haven't updated their notes since 2015. Our syllabus mentions technologies that are already obsolete. Meanwhile students from other colleges are winning hackathons and getting placed in top companies. What are we doing here?,Academics,High,From last week,20+,synthetic,,,
khana oily bahut hai,Mess/Food,High,More than a month,5 to 20,synthetic,,,
library mein AC nahi hai,Technical Issues,High,More than a month,20+,synthetic,,,
"The main gate area gets very crowded during dismissal time. No crowd management, no designated exit paths. Accident prone situation.",Infrastructure,High,More than a month,20+,synthetic,,,
"Canteen ke bahar ka area garbage dump ban gaya hai. Stairs corners pe kachra, overflow dustbins.",Cleanliness,High,More than a month,20+,synthetic,,,
Lectures and practicals are ineffective ,Academics,High,More than a month,20+,real,,,
"Torturing students for attendance and assignments and mid semester examination having no use in future because attending lectures where professors themselves doesn't know what to teach makes no sense, doing assignments without knowing what teacher has taught, giving mid semester examination without knowing what's the syllabus!!! ",Academics,High,More than a month,20+,real,,,
"Yaar canteen ki situation bohot buri hai. Lunch time pe aisa lagta hai jaise Dadar station hai - itni bheed. Queue mein 20-25 minute khade raho, phir food milta hai toh seating nahi milti. End mein standing hokar khao aur next lecture ke liye bhaago. Aur M-block canteen mein UPI nahi chalta so we have to carry cash. Who carries cash in 2026? Please fix both problems - seating aur payment system. Students deserve basic dignity when eating.",Mess/Food,High,More than a month,2 to 5,synthetic,,,
Monday test,Academics,Medium,More than a month,20+,real,,,
College mein cleaning ki responsibility sirf cleaning staff pe hai  but no quality check by administration. Accountability system banao.,Cleanliness,High,More than a month,5 to 20,synthetic,,,
garbage near canteen area,Cleanliness,High,More than a month,5 to 20,synthetic,,,
"Cleaning happens only once, early morning. After students arrive, no cleaning till next morning.",Cleanliness,Low,From last week,5 to 20,synthetic,,,
"Placements ke liye koi preparation nahi di jaati. Students khud se seekhte hai, college ka koi role nahi.",Academics,Medium,More than a month,2 to 5,synthetic,,,
Wheelchair accessibility ramps not available in older buildings. Students with mobility issues can't access floors.,Infrastructure,Medium,More than a month,20+,synthetic,,,
"Outdoor dustbins are open type, no lid. Wind blows garbage all over campus. Use closed lid dustbins.",Cleanliness,High,More than a month,20+,synthetic,,,
"Professor ka behavior poori class ke saath bahut hi bura hai. Woh class mein questions puchte hai aur agar galat jawab aaya toh loudly mock karte hai poori class ke saamne. Ek baar ek student ne doubt pucha toh unhone kaha 'itna bhi nahi pata, kya kar rahe ho yahan?' This is deeply demoralizing. Students ki confidence totally shatter ho gayi hai. Aise professor ke saath class attend karna mental torture hai. Please talk to this faculty member and make them understand professional conduct.",Ragging,Low,More than a month,Only me,synthetic,,,
Girls washroom mein door locks broken hai almost every stall mein. We have to hold the door or wait for the one with a working lock. During breaks it's so stressful and time-consuming.,Infrastructure,High,More than a month,20+,synthetic,,,
The cleaning staff doesn't clean under benches in the canteen. Food particles accumulate there attracting cockroaches and ants.,Cleanliness,Medium,More than a month,20+,synthetic,,,
"During rains, water leaks into D block library area. Books and bags get wet. The building maintenance is clearly not done properly.",Infrastructure,Medium,More than a month,2 to 5,synthetic,,,
"There is absolutely no mental health support in this college. No counselor, no support group, no helpline.",Other,High,More than a month,5 to 20,synthetic,,,
"Sir ne front bench pe baithe students ko bola ki 'back bench pe jaao, aap log toh waise bhi kuch nahi karoge.' This is demoralizing and unprofessional.",Ragging,High,From last week,2 to 5,synthetic,,,
floor properly clean nahi hota,Cleanliness,Medium,More than a month,20+,synthetic,,,
Senior students verbally abused juniors near the library and threatened them not to use certain chairs 'reserved' for seniors. This entitlement and intimidation needs to stop.,Ragging,High,More than a month,Only me,synthetic,,,
lab systems login nahi ho rahe,Technical Issues,Medium,More than a month,2 to 5,synthetic,,,
hygiene nahi hai food counter pe,Mess/Food,High,From Last Month,5 to 20,synthetic,,,
"No proper first aid room on campus. If student falls ill or gets injured, no immediate help available.",Infrastructure,High,More than a month,20+,synthetic,,,
Monday Tests are unnecessary and keeps our schedule hectic,Academics,Medium,More than a month,20+,real,,,
Sir ne ek student ka assignment baar baar reject kiya bina proper reason ke aur publicly embarrass kiya. This appears to be targeted harassment. The student is one of the quiet ones who doesn't fight back. This professor seems to pick on certain students while favoring others. Multiple students have noticed this pattern. This is not fair evaluation - this is bullying by a person in authority. The student is now too scared to even submit assignments. Please address this immediately.,Ragging,Medium,More than a month,2 to 5,synthetic,,,
100 percent attendance ,Academics,High,More than a month,20+,real,,,
Professor ek particular student group ke saath bias rakhta hai  favorites ko marks deta hai aur baaki ko unfairly treats karta hai. This is discrimination.,Ragging,High,From Last Month,Only me,synthetic,,,
WiFi signal doesn't reach hostel blocks properly. Students who stay in hostel have no reliable internet for evening studies.,Technical Issues,Medium,Today,20+,synthetic,,,
"60 rupaye mein jo milta hai woh 30 ka bhi nahi lagta. Dal watery, chapati thin, sabzi tasteless. Value for money zero.",Mess/Food,Medium,More than a month,5 to 20,synthetic,,,
"Menu mein variety laao. Roz wahi dal, sabji, chapati  bhai students kuch naya bhi khana chahte hai. Ek week mein variety rotate karo.",Mess/Food,Medium,More than a month,20+,synthetic,,,
"Our classroom AC has been broken since the start of summer. It has been reported FOUR times - twice to the department, once to maintenance, once to HOD. Still nothing. In Mumbai summer, sitting in a room with 60 students and no AC for 6-7 hours is not just uncomfortable, it is a health risk. Students are unable to focus, attendance has dropped because people avoid the classroom. Either fix the AC or give us an alternate cool classroom. This cannot keep going.",Technical Issues,High,From last week,20+,synthetic,,,
college wifi range weak hai,Technical Issues,Low,From last week,2 to 5,synthetic,,,
placement preparation ke liye zero support,Academics,Low,More than a month,20+,synthetic,,,
Staircase railing in B block is loose. It wobbles when you hold it. Safety hazard - koi gir sakta hai anytime.,Infrastructure,High,More than a month,20+,synthetic,,,
